PID_AreaMSOA,HID_AreaOA,Area_MSOA,Area_OA,Sex,Age,Ethnic,Marital_status,Children_dependency,Economic_activity,Occupation,Income,Driving_license,Car_access,Bike_access,weight
26017_E02001685,88524_E00041456,E02001685,E00041456,1,33,2,Single,FALSE,Employed,3,33260,FALSE,FALSE,FALSE,62
25372_E02001685,45266_E00041457,E02001685,E00041457,1,23,2,Single,FALSE,Employed,3,23560,FALSE,FALSE,TRUE,123
29314_E02001685,45266_E00041457,E02001685,E00041457,2,23,2,Single,FALSE,Employed,6,15160,FALSE,FALSE,TRUE,99
25497_E02001685,46896_E00041983,E02001685,E00041983,1,25,2,Single,FALSE,Employed,2,22620,TRUE,FALSE,FALSE,77
29942_E02001685,66542_E00041983,E02001685,E00041983,2,33,2,Single,TRUE,Employed,2,23380,TRUE,FALSE,TRUE,60
25823_E02001685,75468_E00042003,E02001685,E00042003,1,30,2,Single,FALSE,Employed,8,23540,TRUE,FALSE,FALSE,55
26864_E02001685,92062_E00042006,E02001685,E00042006,1,50,2,Single,FALSE,Employed,1,31610,TRUE,TRUE,TRUE,52
29430_E02001685,64576_E00042006,E02001685,E00042006,2,25,2,Single,FALSE,Employed,6,11270,TRUE,TRUE,FALSE,59
33164_E02001686,86565_E00041446,E02001686,E00041446,1,23,2,Single,FALSE,Employed,6,20120,TRUE,TRUE,FALSE,53
33070_E02001686,24663_E00041469,E02001686,E00041469,1,20,2,Single,FALSE,Employed,9,22440,FALSE,FALSE,FALSE,58
34657_E02001686,65827_E00042005,E02001686,E00042005,1,59,2,Married,TRUE,Employed,1,54050,TRUE,TRUE,FALSE,52
43884_E02001688,90224_E00041599,E02001688,E00041599,2,20,2,Single,TRUE,Employed,7,6310,FALSE,FALSE,TRUE,52
40112_E02001688,29152_E00041601,E02001688,E00041601,1,23,2,Single,FALSE,Employed,7,7510,TRUE,FALSE,FALSE,54
45627_E02001688,89575_E00041601,E02001688,E00041601,2,48,2,Single,TRUE,Employed,7,26140,TRUE,FALSE,TRUE,52
39807_E02001688,86396_E00041614,E02001688,E00041614,1,16,2,Single,FALSE,Employed,4,5230,FALSE,FALSE,FALSE,60
41785_E02001688,39617_E00041629,E02001688,E00041629,1,46,2,Single,FALSE,Employed,7,22340,TRUE,FALSE,FALSE,54
40976_E02001688,92242_E00041630,E02001688,E00041630,1,34,2,Single,TRUE,Employed,7,22550,FALSE,FALSE,FALSE,54
42432_E02001688,32573_E00041883,E02001688,E00041883,1,60,2,Single,FALSE,Employed,5,21120,TRUE,TRUE,FALSE,121
46074_E02001688,68892_E00041883,E02001688,E00041883,2,59,2,Single,FALSE,Employed,1,32620,TRUE,TRUE,FALSE,58
40329_E02001688,22157_E00041905,E02001688,E00041905,1,26,2,Single,FALSE,Employed,7,13240,TRUE,TRUE,FALSE,123
45065_E02001688,7328_E00041905,E02001688,E00041905,2,36,2,Single,TRUE,Employed,2,29420,TRUE,FALSE,FALSE,58
44214_E02001688,75062_E00041907,E02001688,E00041907,2,25,2,Single,FALSE,Employed,3,11530,FALSE,FALSE,FALSE,55
39897_E02001688,5203_E00166219,E02001688,E00166219,1,19,2,Single,FALSE,Employed,7,7600,FALSE,FALSE,FALSE,60
40742_E02001688,8596_E00166222,E02001688,E00166222,1,31,2,Single,FALSE,Employed,2,41900,TRUE,TRUE,FALSE,52
40658_E02001688,28462_E00166224,E02001688,E00166224,1,30,2,Single,FALSE,Employed,2,25010,FALSE,FALSE,FALSE,103
39859_E02001688,92110_E00170010,E02001688,E00170010,1,18,2,Single,FALSE,Employed,4,9180,TRUE,TRUE,FALSE,97
44166_E02001688,71323_E00170010,E02001688,E00170010,2,25,2,Single,FALSE,Employed,3,21860,FALSE,FALSE,TRUE,52
41907_E02001688,26772_E00170012,E02001688,E00170012,1,49,2,Single,FALSE,Employed,2,28590,TRUE,TRUE,TRUE,79
45397_E02001688,8477_E00170012,E02001688,E00170012,2,42,2,Single,TRUE,Employed,6,25540,TRUE,TRUE,FALSE,64
48090_E02001689,23129_E00041394,E02001689,E00041394,1,20,2,Single,FALSE,Employed,5,18530,TRUE,TRUE,TRUE,56
47850_E02001689,59551_E00041399,E02001689,E00041399,1,18,2,Single,FALSE,Employed,9,2300,FALSE,FALSE,FALSE,77
50085_E02001689,28981_E00041400,E02001689,E00041400,1,48,2,Single,FALSE,Employed,3,52780,TRUE,FALSE,FALSE,68
51167_E02001689,80975_E00041401,E02001689,E00041401,1,72,2,Single,FALSE,Employed,1,16760,TRUE,FALSE,FALSE,70
51468_E02001689,28579_E00041407,E02001689,E00041407,1,86,2,Single,FALSE,Employed,2,45510,TRUE,FALSE,FALSE,72
49044_E02001689,78254_E00041902,E02001689,E00041902,1,31,2,Single,FALSE,Employed,5,21940,TRUE,FALSE,FALSE,56
52584_E02001689,40371_E00166185,E02001689,E00166185,2,20,2,Single,FALSE,Employed,7,5810,FALSE,FALSE,TRUE,75
49275_E02001689,19719_E00166190,E02001689,E00166190,1,34,2,Single,FALSE,Employed,3,34900,FALSE,FALSE,FALSE,102
52780_E02001689,46623_E00166190,E02001689,E00166190,2,23,2,Single,FALSE,Employed,1,25790,TRUE,TRUE,FALSE,51
48297_E02001689,22177_E00166195,E02001689,E00166195,1,21,2,Single,FALSE,Employed,3,14120,FALSE,FALSE,FALSE,59
56492_E02001690,72077_E00041921,E02001690,E00041921,1,20,2,Single,FALSE,Employed,9,5730,FALSE,FALSE,TRUE,53
56527_E02001690,75912_E00041940,E02001690,E00041940,1,21,2,Single,FALSE,Employed,7,12370,TRUE,TRUE,TRUE,52
58308_E02001690,20401_E00041941,E02001690,E00041941,1,59,2,Single,FALSE,Employed,5,29720,TRUE,TRUE,TRUE,80
70598_E02001691,82935_E00041845,E02001691,E00041845,2,44,2,Single,TRUE,Employed,1,54530,TRUE,FALSE,TRUE,56
65613_E02001691,72538_E00041850,E02001691,E00041850,1,37,2,Single,FALSE,Employed,2,39120,TRUE,TRUE,TRUE,65
63915_E02001691,4655_E00041851,E02001691,E00041851,1,19,2,Single,FALSE,Employed,8,23520,FALSE,FALSE,TRUE,73
69816_E02001691,45970_E00041851,E02001691,E00041851,2,33,2,Single,FALSE,Employed,3,30850,FALSE,FALSE,FALSE,71
64859_E02001691,33478_E00041852,E02001691,E00041852,1,30,2,Single,FALSE,Employed,9,22800,TRUE,FALSE,FALSE,65
70335_E02001691,49265_E00041852,E02001691,E00041852,2,39,2,Single,FALSE,Employed,6,11840,TRUE,FALSE,FALSE,51
66262_E02001691,58471_E00041856,E02001691,E00041856,1,48,2,Single,FALSE,Employed,4,40320,TRUE,FALSE,FALSE,63
72147_E02001691,59305_E00041857,E02001691,E00041857,2,82,2,Single,FALSE,Employed,4,13300,TRUE,TRUE,FALSE,51
64506_E02001691,41401_E00041858,E02001691,E00041858,1,27,2,Single,FALSE,Employed,4,14680,FALSE,FALSE,FALSE,77
63931_E02001691,64510_E00041868,E02001691,E00041868,1,19,2,Single,FALSE,Unemployed,8,18290,TRUE,FALSE,FALSE,96
70932_E02001691,81788_E00041868,E02001691,E00041868,2,51,2,Single,TRUE,Employed,8,23080,FALSE,FALSE,FALSE,60
67491_E02001691,58964_E00041870,E02001691,E00041870,1,78,2,Single,FALSE,Employed,8,13150,TRUE,TRUE,FALSE,54
65543_E02001691,72341_E00041871,E02001691,E00041871,1,36,2,Single,FALSE,Employed,9,12210,FALSE,FALSE,FALSE,56
70202_E02001691,59331_E00041871,E02001691,E00041871,2,37,2,Single,FALSE,Employed,3,23670,FALSE,FALSE,TRUE,57
65298_E02001691,93774_E00041875,E02001691,E00041875,1,34,2,Single,FALSE,Employed,2,43940,FALSE,FALSE,TRUE,71
68793_E02001691,22497_E00041875,E02001691,E00041875,2,22,2,Single,FALSE,Employed,7,10130,FALSE,FALSE,FALSE,52
73280_E02001692,53816_E00041367,E02001692,E00041367,1,23,2,Single,FALSE,Unemployed,4,6900,FALSE,FALSE,TRUE,90
78197_E02001692,2042_E00041367,E02001692,E00041367,2,60,2,Single,TRUE,Employed,6,16580,TRUE,FALSE,FALSE,58
73654_E02001692,22904_E00041368,E02001692,E00041368,1,31,2,Single,FALSE,Employed,4,21440,TRUE,FALSE,TRUE,61
73486_E02001692,66898_E00041577,E02001692,E00041577,1,28,2,Single,FALSE,Employed,1,76040,TRUE,FALSE,FALSE,96
76251_E02001692,40839_E00041577,E02001692,E00041577,2,18,2,Single,FALSE,Employed,6,4370,FALSE,FALSE,FALSE,61
73601_E02001692,9292_E00041584,E02001692,E00041584,1,30,2,Single,FALSE,Employed,4,20760,TRUE,FALSE,FALSE,58
73852_E02001692,24189_E00041593,E02001692,E00041593,1,35,2,Single,FALSE,Employed,1,46500,TRUE,TRUE,TRUE,52
76384_E02001692,25552_E00041598,E02001692,E00041598,2,21,2,Single,FALSE,Employed,6,5570,FALSE,FALSE,FALSE,55
79928_E02001693,62020_E00041634,E02001693,E00041634,1,34,2,Single,FALSE,Employed,7,15920,FALSE,FALSE,FALSE,69
80979_E02001693,29026_E00041653,E02001693,E00041653,1,63,2,Single,FALSE,Employed,2,28080,TRUE,FALSE,FALSE,65
79362_E02001693,42357_E00041660,E02001693,E00041660,1,17,2,Single,FALSE,Unemployed,9,2370,FALSE,FALSE,TRUE,64
79653_E02001693,1650_E00041746,E02001693,E00041746,1,26,2,Single,FALSE,Employed,7,11700,FALSE,FALSE,FALSE,67
87058_E02001694,26872_E00041602,E02001694,E00041602,1,63,2,Single,FALSE,Employed,8,10720,TRUE,TRUE,FALSE,59
85106_E02001694,34174_E00041603,E02001694,E00041603,1,17,2,Single,FALSE,Employed,9,2180,FALSE,FALSE,TRUE,59
85175_E02001694,50599_E00041608,E02001694,E00041608,1,19,2,Single,FALSE,Unemployed,7,6860,FALSE,FALSE,TRUE,58
85169_E02001694,57794_E00041612,E02001694,E00041612,1,18,2,Single,FALSE,Employed,8,22700,FALSE,FALSE,FALSE,78
88360_E02001694,57794_E00041612,E02001694,E00041612,2,18,2,Single,FALSE,Employed,6,9250,FALSE,FALSE,FALSE,54
85244_E02001694,25048_E00041615,E02001694,E00041615,1,20,2,Single,FALSE,Employed,7,8370,FALSE,FALSE,TRUE,65
92358_E02001695,17733_E00042008,E02001695,E00042008,1,37,2,Married,TRUE,Employed,3,22320,TRUE,TRUE,TRUE,63
93140_E02001695,15003_E00042008,E02001695,E00042008,1,55,2,Single,TRUE,Employed,1,19870,FALSE,FALSE,FALSE,53
95800_E02001695,21081_E00042008,E02001695,E00042008,2,47,2,Married,TRUE,Employed,1,6010,FALSE,FALSE,TRUE,58
92568_E02001695,82987_E00042022,E02001695,E00042022,1,41,2,Single,FALSE,Employed,5,39310,FALSE,FALSE,FALSE,88
94741_E02001695,21236_E00042022,E02001695,E00042022,2,19,2,Single,FALSE,Employed,9,2340,FALSE,FALSE,FALSE,60
91696_E02001695,30139_E00042026,E02001695,E00042026,1,18,2,Single,FALSE,Employed,9,3360,FALSE,FALSE,FALSE,54
93301_E02001695,42335_E00042035,E02001695,E00042035,1,58,2,Single,FALSE,Employed,8,27490,TRUE,TRUE,FALSE,58
98445_E02001696,24480_E00041724,E02001696,E00041724,1,21,2,Single,FALSE,Unemployed,5,11840,FALSE,FALSE,TRUE,66
98289_E02001696,75870_E00041793,E02001696,E00041793,1,18,2,Single,FALSE,Employed,7,15570,FALSE,FALSE,TRUE,52
108925_E02001697,17730_E00041665,E02001697,E00041665,1,55,2,Married,TRUE,Employed,3,38950,TRUE,TRUE,TRUE,63
108794_E02001697,74965_E00041665,E02001697,E00041665,1,53,2,Single,FALSE,Employed,1,34150,TRUE,TRUE,TRUE,68
111615_E02001697,37950_E00041665,E02001697,E00041665,2,38,2,Married,FALSE,Employed,4,21240,TRUE,TRUE,FALSE,55
107506_E02001697,12221_E00041769,E02001697,E00041769,1,26,2,Single,FALSE,Employed,3,20860,TRUE,FALSE,TRUE,61
107668_E02001697,79838_E00041771,E02001697,E00041771,1,30,2,Married,FALSE,Employed,3,33210,TRUE,TRUE,FALSE,52
121701_E02001699,59892_E00041726,E02001699,E00041726,1,19,2,Single,FALSE,Employed,6,6030,FALSE,FALSE,FALSE,57
121863_E02001699,37251_E00041737,E02001699,E00041737,1,23,2,Single,FALSE,Employed,6,5480,FALSE,FALSE,TRUE,71
123385_E02001699,11489_E00041748,E02001699,E00041748,1,59,2,Single,FALSE,Employed,2,39980,TRUE,FALSE,TRUE,75
121847_E02001699,33867_E00042015,E02001699,E00042015,1,23,2,Single,FALSE,Employed,6,8460,TRUE,FALSE,FALSE,51
130876_E02001700,5266_E00041877,E02001700,E00041877,1,53,2,Married,FALSE,Employed,8,20640,TRUE,TRUE,FALSE,53
129123_E02001700,24754_E00041894,E02001700,E00041894,1,25,2,Single,FALSE,Employed,2,36430,TRUE,FALSE,FALSE,73
134286_E02001700,86678_E00041894,E02001700,E00041894,2,31,2,Single,FALSE,Employed,2,23940,FALSE,FALSE,FALSE,51
128793_E02001700,50978_E00041895,E02001700,E00041895,1,20,2,Single,FALSE,Employed,4,7900,FALSE,FALSE,FALSE,64
128874_E02001700,91526_E00041946,E02001700,E00041946,1,21,2,Single,FALSE,Employed,3,14280,TRUE,TRUE,TRUE,82
136112_E02001700,35989_E00041946,E02001700,E00041946,2,55,2,Single,TRUE,Employed,6,13330,TRUE,FALSE,TRUE,56
129789_E02001700,55515_E00041961,E02001700,E00041961,1,36,2,Married,TRUE,Employed,3,33990,TRUE,TRUE,TRUE,52
128695_E02001700,65839_E00041970,E02001700,E00041970,1,18,2,Single,FALSE,Employed,7,5180,TRUE,TRUE,FALSE,83
138753_E02001701,47669_E00041519,E02001701,E00041519,1,25,2,Married,TRUE,Employed,2,34720,TRUE,TRUE,FALSE,51
140021_E02001701,51965_E00041762,E02001701,E00041762,1,57,2,Single,FALSE,Employed,5,23050,TRUE,TRUE,FALSE,93
138510_E02001701,56970_E00041781,E02001701,E00041781,1,17,2,Single,FALSE,Employed,7,5640,FALSE,FALSE,FALSE,136
145594_E02001702,2362_E00041676,E02001702,E00041676,1,25,2,Single,FALSE,Employed,5,25620,FALSE,FALSE,FALSE,83
149164_E02001702,2362_E00041676,E02001702,E00041676,2,19,2,Single,FALSE,Employed,7,8880,FALSE,FALSE,FALSE,51
147251_E02001702,79789_E00041679,E02001702,E00041679,1,59,2,Single,FALSE,Unemployed,3,25000,TRUE,FALSE,FALSE,74
149156_E02001702,32954_E00041679,E02001702,E00041679,2,19,2,Single,FALSE,Employed,3,9330,FALSE,FALSE,FALSE,53
152733_E02001703,70372_E00041496,E02001703,E00041496,1,16,2,Single,FALSE,Employed,7,6350,FALSE,FALSE,TRUE,56
158452_E02001704,79582_E00041534,E02001704,E00041534,1,19,2,Single,FALSE,Employed,1,23130,FALSE,FALSE,TRUE,55
165489_E02001705,35675_E00041501,E02001705,E00041501,1,18,2,Single,FALSE,Employed,7,10510,FALSE,FALSE,FALSE,141
166003_E02001705,91750_E00041503,E02001705,E00041503,1,31,2,Single,FALSE,Employed,4,17670,FALSE,FALSE,FALSE,64
172574_E02001706,87547_E00041695,E02001706,E00041695,1,18,2,Single,FALSE,Employed,5,17540,TRUE,TRUE,TRUE,106.5
174262_E02001706,73535_E00041695,E02001706,E00041695,1,54,2,Single,FALSE,Employed,5,26740,FALSE,FALSE,TRUE,106.5
178205_E02001706,73535_E00041695,E02001706,E00041695,2,55,2,Single,FALSE,Employed,3,26500,TRUE,FALSE,FALSE,143
172519_E02001706,68178_E00041698,E02001706,E00041698,1,17,2,Single,FALSE,Employed,1,5980,FALSE,FALSE,TRUE,144
176466_E02001706,73823_E00041698,E02001706,E00041698,2,21,2,Single,FALSE,Employed,4,9010,FALSE,FALSE,FALSE,92.5
177632_E02001706,41777_E00041698,E02001706,E00041698,2,44,2,Single,TRUE,Unemployed,4,27130,TRUE,TRUE,FALSE,92.5
173775_E02001706,80006_E00041708,E02001706,E00041708,1,44,2,Married,FALSE,Employed,5,42880,TRUE,TRUE,FALSE,55
174614_E02001706,28671_E00041708,E02001706,E00041708,1,61,2,Single,FALSE,Employed,1,55550,TRUE,TRUE,FALSE,125
178409_E02001706,28671_E00041708,E02001706,E00041708,2,58,2,Single,FALSE,Employed,1,15600,TRUE,TRUE,TRUE,91
173052_E02001706,60028_E00166218,E02001706,E00166218,1,29,2,Married,TRUE,Employed,2,13770,TRUE,TRUE,FALSE,55
182316_E02001707,78726_E00041423,E02001707,E00041423,1,56,2,Single,TRUE,Employed,9,8160,FALSE,FALSE,FALSE,70
180517_E02001707,94147_E00041430,E02001707,E00041430,1,19,2,Single,FALSE,Employed,7,8080,FALSE,FALSE,TRUE,107
180407_E02001707,7324_E00041435,E02001707,E00041435,1,17,2,Single,FALSE,Employed,9,2300,FALSE,FALSE,TRUE,58
182542_E02001707,72791_E00170016,E02001707,E00170016,1,60,2,Married,FALSE,Employed,3,19780,TRUE,TRUE,FALSE,51
1606_E02001708,18492_E00042067,E02001708,E00042067,1,22,2,Single,FALSE,Employed,7,13130,TRUE,FALSE,FALSE,57
11306_E02001708,18492_E00042067,E02001708,E00042067,2,62,2,Single,FALSE,Employed,1,19350,FALSE,FALSE,FALSE,62
1229_E02001708,98570_E00042082,E02001708,E00042082,1,16,2,Single,FALSE,Employed,4,5320,FALSE,FALSE,TRUE,77
7428_E02001708,3872_E00042082,E02001708,E00042082,2,18,2,Single,FALSE,Employed,1,15090,FALSE,FALSE,FALSE,63
4089_E02001708,4831_E00042083,E02001708,E00042083,1,52,2,Single,FALSE,Unemployed,8,32670,FALSE,FALSE,FALSE,54
7273_E02001708,47002_E00042083,E02001708,E00042083,2,16,2,Single,FALSE,Employed,4,5390,FALSE,FALSE,TRUE,58
4532_E02001708,111859_E00042141,E02001708,E00042141,1,57,2,Single,FALSE,Employed,8,30890,TRUE,TRUE,FALSE,57
11302_E02001708,88396_E00042141,E02001708,E00042141,2,62,2,Single,FALSE,Employed,7,12210,TRUE,TRUE,FALSE,57
2093_E02001708,13159_E00042143,E02001708,E00042143,1,29,2,Single,FALSE,Employed,3,16830,FALSE,FALSE,FALSE,58
8509_E02001708,13159_E00042143,E02001708,E00042143,2,32,2,Single,FALSE,Employed,2,34800,TRUE,TRUE,FALSE,56
1766_E02001708,122244_E00042144,E02001708,E00042144,1,25,2,Single,FALSE,Employed,2,72210,FALSE,FALSE,TRUE,124
10321_E02001708,110342_E00042144,E02001708,E00042144,2,53,2,Single,FALSE,Employed,4,19020,FALSE,FALSE,FALSE,99
2566_E02001708,39292_E00042146,E02001708,E00042146,1,34,2,Single,FALSE,Employed,2,27440,TRUE,TRUE,FALSE,62
9385_E02001708,30607_E00042146,E02001708,E00042146,2,42,2,Single,FALSE,Employed,7,28930,TRUE,TRUE,TRUE,61
3166_E02001708,77395_E00042147,E02001708,E00042147,1,40,2,Married,TRUE,Employed,2,54980,TRUE,TRUE,FALSE,64
9512_E02001708,83082_E00042147,E02001708,E00042147,2,43,2,Married,TRUE,Employed,1,22160,TRUE,TRUE,TRUE,53
2992_E02001708,99493_E00042148,E02001708,E00042148,1,38,2,Married,TRUE,Employed,1,36900,TRUE,TRUE,TRUE,51
1456_E02001708,12174_E00042149,E02001708,E00042149,1,20,2,Single,FALSE,Employed,4,7400,FALSE,FALSE,FALSE,54
8961_E02001708,2281_E00042149,E02001708,E00042149,2,37,2,Single,TRUE,Employed,2,39790,TRUE,TRUE,TRUE,55
3001_E02001708,68470_E00042151,E02001708,E00042151,1,38,2,Single,TRUE,Employed,9,8590,TRUE,TRUE,FALSE,53
8524_E02001708,62608_E00042151,E02001708,E00042151,2,32,2,Single,FALSE,Employed,2,21660,FALSE,FALSE,FALSE,62
1480_E02001708,124254_E00042155,E02001708,E00042155,1,20,2,Single,FALSE,Unemployed,7,6250,FALSE,FALSE,FALSE,109
9147_E02001708,5543_E00042155,E02001708,E00042155,2,39,2,Single,TRUE,Employed,6,12390,TRUE,FALSE,TRUE,88
1861_E02001708,121542_E00042156,E02001708,E00042156,1,26,2,Single,FALSE,Employed,5,21390,FALSE,FALSE,FALSE,100
7551_E02001708,94625_E00042156,E02001708,E00042156,2,21,2,Single,FALSE,Employed,3,10480,FALSE,FALSE,FALSE,103
1433_E02001708,118662_E00042158,E02001708,E00042158,1,19,2,Single,FALSE,Employed,7,10180,FALSE,FALSE,FALSE,58
9303_E02001708,85180_E00042158,E02001708,E00042158,2,41,2,Single,FALSE,Employed,2,63840,TRUE,TRUE,FALSE,57
9374_E02001708,47888_E00042159,E02001708,E00042159,2,41,2,Single,FALSE,Employed,4,22790,FALSE,FALSE,FALSE,52
2452_E02001708,36644_E00042160,E02001708,E00042160,1,32,2,Single,FALSE,Employed,5,24350,FALSE,FALSE,TRUE,56
8809_E02001708,36644_E00042160,E02001708,E00042160,2,35,2,Single,FALSE,Employed,6,12230,FALSE,FALSE,TRUE,59
4731_E02001708,58990_E00042164,E02001708,E00042164,1,60,2,Single,FALSE,Employed,8,18980,TRUE,TRUE,FALSE,63
7630_E02001708,111846_E00042164,E02001708,E00042164,2,22,2,Single,FALSE,Employed,7,10480,FALSE,FALSE,FALSE,70
9192_E02001708,12274_E00175572,E02001708,E00175572,2,39,2,Single,FALSE,Employed,2,29350,FALSE,FALSE,FALSE,59
1771_E02001708,113783_E00175605,E02001708,E00175605,1,25,2,Single,FALSE,Employed,4,12620,TRUE,TRUE,FALSE,56
8529_E02001708,113783_E00175605,E02001708,E00175605,2,32,2,Single,FALSE,Employed,2,26010,TRUE,TRUE,TRUE,60
34698_E02001711,2718_E00042906,E02001711,E00042906,1,33,2,Single,FALSE,Unemployed,5,35390,FALSE,FALSE,FALSE,52
33802_E02001711,46588_E00042908,E02001711,E00042908,1,18,2,Single,FALSE,Employed,5,16820,TRUE,TRUE,FALSE,57
33799_E02001711,79721_E00042909,E02001711,E00042909,1,18,2,Single,FALSE,Employed,3,10580,FALSE,FALSE,TRUE,54
34697_E02001711,101559_E00042910,E02001711,E00042910,1,33,2,Single,FALSE,Employed,2,37700,FALSE,FALSE,FALSE,58
35699_E02001711,59391_E00042912,E02001711,E00042912,1,51,2,Married,TRUE,Employed,1,69710,TRUE,TRUE,FALSE,58
35448_E02001711,123993_E00042912,E02001711,E00042912,1,47,2,Single,FALSE,Employed,1,57390,TRUE,TRUE,FALSE,56
33948_E02001711,5806_E00042918,E02001711,E00042918,1,21,2,Single,FALSE,Employed,7,5450,FALSE,FALSE,FALSE,51
35299_E02001711,72280_E00042921,E02001711,E00042921,1,45,2,Single,FALSE,Employed,9,24170,FALSE,FALSE,TRUE,76
34348_E02001711,46648_E00042923,E02001711,E00042923,1,28,2,Single,FALSE,Employed,5,17050,FALSE,FALSE,TRUE,52
34302_E02001711,60598_E00042924,E02001711,E00042924,1,28,2,Single,FALSE,Unemployed,5,15110,TRUE,FALSE,FALSE,80
40530_E02001711,61953_E00042924,E02001711,E00042924,2,54,2,Single,FALSE,Employed,9,9570,FALSE,FALSE,FALSE,51
43676_E02001712,37275_E00042713,E02001712,E00042713,1,26,2,Single,FALSE,Employed,3,27070,TRUE,TRUE,FALSE,52
50316_E02001712,32345_E00042713,E02001712,E00042713,2,54,2,Single,FALSE,Employed,9,8660,TRUE,FALSE,FALSE,67
45489_E02001712,26675_E00042717,E02001712,E00042717,1,50,2,Married,FALSE,Employed,2,26910,TRUE,TRUE,FALSE,54
43491_E02001712,103948_E00042717,E02001712,E00042717,1,24,2,Single,FALSE,Employed,9,8930,TRUE,TRUE,TRUE,61
49078_E02001712,102374_E00042717,E02001712,E00042717,2,32,2,Single,FALSE,Employed,2,36020,TRUE,TRUE,FALSE,63
